name,url,description,area,roles,country,quality,status,verifiedAt
Max Duchardt,http://www.maxduchardt.com,"Designer com casos notáveis de branding e packaging, incluindo April Coffee Roasters.","Brand Design, Packaging",Brand Designer,Alemanha,4,Ativo,2025-05
Josh Puckett,https://joshpuckett.me,Product designer e fundador focado em ferramentas para designers. Referência em Figma e AI.,"Product Design, Design Engineering","Product Designer, Founder",EUA,4,Ativo,2025-05
Daniil Sergeev,https://daniilsergeev.com,Designer com casos de produto e identidade visual muito bem executados.,"Product Design, Brand Design",Product Designer,Rússia,4,Ativo,2025-05
Emmi Wu,https://emmiwu.com/playground,Designer com foco em produto e UI de alta qualidade. Playground com experimentos visuais autorais.,"Product Design, UX/UI, Motion Design",Product Designer,EUA / Taiwan,4,Ativo,2025-05
Luís Alt,https://luisalt.com,"Estrategista e designer, sócio da Livework Brasil. Referência em design estratégico e service design.",Design Strategy,"Strategy Director, Design Strategist",Brasil,4,Ativo,2025-05
Zeno Rocha,https://zenorocha.com,"Designer e desenvolvedor, fundador da Resend. Portfolio que cruza design e engenharia.","Design Engineering, Product Design","Founder, Design Engineer",Brasil / EUA,4,Ativo,2025-05
Isabela Quintes,https://www.isabelaquintes.com/pingado,Designer brasileira. Projeto 'Pingado' — editorial de design e café. Referência temática para o projeto.,"Editorial Design, Brand Design","Designer, Editor",Brasil,4,Ativo,2025-05
Vitor Ferrara,https://www.vitorferrara.com,Designer brasileiro de produto digital com foco em fintech e produtos B2C de grande escala.,"Product Design, UX/UI",Senior Product Designer,Brasil,4,Ativo,2025-05
Ava Araujo,https://www.avaaraujo.com,Product designer brasileira com cases em fintech (BTG Trader) e produto digital.,"Product Design, UX/UI",Product Designer,Brasil,4,Ativo,2025-05
Caio Pires,https://caiopires.com.br,Designer brasileiro com atuação em branding e identidade visual. Portfolio com cases nacionais.,"Brand Design, Graphic Design",Brand Designer,Brasil,3,Ativo,2025-05
Will Nunes,https://willnunes.cc,Designer brasileiro com portfólio focado em tipografia e identidade visual.,"Type Design, Brand Design",Graphic Designer,Brasil,3,Ativo,2025-05
Luan Pissolati,https://luanpissolati.com,Product designer brasileiro. Portfolio com casos focados em research e estratégia de produto.,"Product Design, UX/UI",Product Designer,Brasil,3,Ativo,2025-05
Rebecca Arnaud,https://rebeccaarnaud.com,Designer francesa. Portfolio com foco em identidade visual e direção de arte.,"Brand Design, Art Direction",Brand Designer,França,3,Ativo,2025-05
Emily Klaebe,https://emilyklaebe.com,Designer australiana com trabalhos em branding e design editorial.,"Brand Design, Editorial Design",Brand Designer,Austrália,3,Ativo,2025-05
Nishat Akhtar,https://nishatakhtar.com,Designer focada em UX e produto. Portfolio com projetos variados.,"UX/UI, Product Design",UX Designer,Reino Unido,3,Ativo,2025-05
Keya Vadgama,https://keyavadgama.com,Type designer britânica. Portfólio na Future Fonts com trabalhos tipográficos autorais.,Type Design,Type Designer,Reino Unido,3,Ativo,2025-05
Lucas Menegotto,https://lucasmenegotto.squarespace.com/about,Designer brasileiro com projetos de branding e identidade visual.,Brand Design,Brand Designer,Brasil,3,Ativo,2025-05
Pedro Naif,https://www.pedronaif.com,"Designer brasileiro, trabalha com branding e produto digital.","Brand Design, Product Design","Brand Designer, Product Designer",Brasil,3,Ativo,2025-05
Martin Kess,http://martinkess.de,Designer alemão. Portfolio minimalista com forte apelo visual.,"Graphic Design, Brand Design",Graphic Designer,Alemanha,3,Ativo,2025-05
George Badea,https://georgebadea.com,Designer com portfolio focado em UI e produto. Trabalhos visuais de alta qualidade.,"UX/UI, Product Design",UI/UX Designer,Romênia,3,Ativo,2025-05
Yuriko Takagi,https://yurikotakagi.com,"Designer japonesa com cases de branding, identidade e direção de arte.","Brand Design, Art Direction",Brand Designer,Japão,3,Ativo,2025-05
Aaron Weeks,https://www.aaronweeks.studio/gallery,Designer australiano com trabalhos em identidade visual e motion.,"Brand Design, Motion Design",Brand Designer,Austrália,3,Ativo,2025-05
Andrés Gil,https://andresgil.xyz,Designer colombiano com foco em branding e identidade visual. Cases relevantes na América Latina.,Brand Design,Brand Designer,Colômbia,3,Ativo,2025-05
Daniel Klopper,https://danielklopper.com,Designer sul-africano com portfólio em branding e identidade visual.,Brand Design,Brand Designer,África do Sul,3,Ativo,2025-05
Mary Eefi,https://maryeefi.com,Designer com foco em produto e UX. Portfolio com projetos variados.,"Product Design, UX/UI",Product Designer,Grécia,3,Ativo,2025-05
Juliana Ross,https://julianaross.com,Product designer brasileira com cases bem documentados em produto digital.,"Product Design, UX/UI",Product Designer,Brasil,3,Ativo,2025-05
Helena Hennemann,https://helenahennemann.com,Designer alemã com trabalhos em identidade visual e branding.,Brand Design,Brand Designer,Alemanha,3,Ativo,2025-05
Vlad Savruk,https://vladsavruk.com,Designer e ilustrador ucraniano com estilo visual muito distintivo.,"Illustration, Brand Design","Illustrator, Brand Designer",Ucrânia,3,Ativo,2025-05
Marina Brant,https://marinabrant.com,Designer brasileira com portfólio em branding e identidade.,Brand Design,Brand Designer,Brasil,3,Ativo,2025-05
Jacky Grob,https://jackygrob.com,Designer e fotógrafo suíço com foco em direção de arte e fotografia.,"Photography, Art Direction","Art Director, Photographer",Suíça,3,Ativo,2025-05
Akila Studio,https://akilastudio.com,Studio indiano com portfólio em identidade visual e produto.,"Brand Design, Product Design","Brand Designer, Creative Director",Índia,3,Ativo,2025-05
Caleb Warwick,https://calebwarwick.com/en/about,Designer com trabalhos notáveis em branding de café (BigFace). Portfolio bem documentado.,"Brand Design, Packaging",Brand Designer,EUA,3,Ativo,2025-05
Jader Almeida,https://www.jaderalmeida.com,Designer brasileiro. Portfolio com projetos de branding e identidade.,Brand Design,Brand Designer,Brasil,3,Ativo,2025-05
Mateus Araújo,https://studiomateusaraujo.com.br,Designer brasileiro com studio próprio. Trabalhos em branding e identidade.,Brand Design,"Brand Designer, Creative Director",Brasil,3,Ativo,2025-05
Lucas Miralles,https://lucasmiralles.com,Designer brasileiro com portfolio em branding e identidade visual.,Brand Design,Brand Designer,Brasil,3,Ativo,2025-05
Victor Berbel,https://www.victorberbel.work,Product designer brasileiro com cases focados em fintech e apps.,"Product Design, UX/UI",Product Designer,Brasil,3,Ativo,2025-05
Lucas Barreira,https://www.lucasbarreira.me,Product designer brasileiro. Portfolio com projetos de produto digital.,"Product Design, UX/UI",Product Designer,Brasil,3,Ativo,2025-05
Giang Ho,https://giangho.work,Designer com foco em produto e branding. Portfolio limpo e bem estruturado.,"Product Design, Brand Design",Product Designer,Vietnã,3,Ativo,2025-05
Filipa Pinto,https://filipa-pinto.com,Designer portuguesa com trabalhos em identidade visual e branding.,Brand Design,Brand Designer,Portugal,3,Ativo,2025-05
Vini Vieira,http://vinivieira.cc,Designer brasileiro. Portfolio com projetos de produto e identidade.,"Product Design, Brand Design",Product Designer,Brasil,3,Ativo,2025-05
Carlos Bocai,https://carlosbocai.works,Designer brasileiro com cases em branding e produto.,"Brand Design, Product Design","Brand Designer, Product Designer",Brasil,3,Ativo,2025-05
Glauber,https://glauber.org,Designer brasileiro com portfolio curado e trabalhos experimentais.,"Graphic Design, Motion Design",Graphic Designer,Brasil,3,Ativo,2025-05
Patrick Santos,https://patricksantos.online,Designer brasileiro. Atua com branding e educação em design.,"Brand Design, Design Strategy","Brand Designer, Educator",Brasil,3,Ativo,2025-05
Victor Amos,https://victoramos.com.br,Designer brasileiro de produto. Portfolio com cases de apps e produto digital.,"Product Design, UX/UI",Product Designer,Brasil,3,Ativo,2025-05
Isabela Moranta,https://www.isabelamoranta.com,Designer brasileira com portfolio em identidade visual.,"Brand Design, Graphic Design",Brand Designer,Brasil,3,Ativo,2025-05
Tullio Cunha,https://tulliocunha.com,Designer brasileiro com cases em produto e identidade visual.,"Product Design, Brand Design",Product Designer,Brasil,3,Ativo,2025-05
Manoel Work,https://manoel.work,Designer brasileiro. Portfolio com projetos de produto e branding.,"Product Design, Brand Design",Product Designer,Brasil,3,Ativo,2025-05
Dani Peredelski,https://www.daniperedelski.com,Designer ucraniana com foco em produto e branding. Portfolio detalhado.,"Product Design, Brand Design",Product Designer,Ucrânia,3,Ativo,2025-05
Harin Design,https://harin.design,Designer sul-coreano com foco em identidade visual e branding.,Brand Design,Brand Designer,Coreia do Sul,3,Ativo,2025-05
Matthew Vernon,https://matthewvernon.co,Designer britânico com cases em identidade visual e produto.,"Brand Design, Product Design",Brand Designer,Reino Unido,3,Ativo,2025-05
Sandra Creates,https://sandracreates.com,Designer com portfólio em branding e identidade visual.,Brand Design,Brand Designer,EUA,3,Ativo,2025-05
Tanuja Shastri,https://www.tanujashastri.com,Designer com foco em produto e UX. Portfolio com cases bem documentados.,"Product Design, UX/UI",Product Designer,Índia,3,Ativo,2025-05
JD Reeves,https://jdreeves.com/Holly-Ventures,Designer americano com portfolio em branding e produto.,"Brand Design, Product Design",Brand Designer,EUA,3,Ativo,2025-05
Locatelli Studio,https://locatelli.studio/work/oliviare,Studio italiano com casos de branding e identidade visual bem executados.,Brand Design,"Brand Designer, Creative Director",Itália,3,Ativo,2025-05
Mitul Mistry — Typical Mitul,https://typicalmitul.com,Curadoria e portfólio estendido de Mitul Mistry. Referências visuais e tipográficas.,"Brand Design, Type Design",Product Designer,Reino Unido,4,Ativo,2025-05
Bruce Cao,https://bruce-cao.com,Product designer com portfolio detalhado e cases bem documentados.,"Product Design, UX/UI",Product Designer,Canadá,3,Ativo,2025-05
Zeh Fernandes — Folded World,https://zehfernandes.com/projects/folded-world/tool,Projeto experimental de mapa interativo. Referência em design + código criativo.,Design Engineering,Design Engineer,Brasil,5,Ativo,2025-05
